article_type.code;article.code;article.description
S;D-00022477;DYNASCONE NEAT 939.745 ( FFP) @ 10 % in DPG
S;D-00022544;DYNASCONE NEAT 939.745 ( FFP) @ 1 % in DPG
S;D-00028780;DYNASCONE NEAT 939.745 ( FFP) @ 10 % in TEC
S;D-00029095;DYNASCONE NEAT 939.745 ( FFP) @ 10 % in IPM
S;D-00045269;MANDARINAL 32048 SAEF SUB NB BASE 021F [FFP] @ 10 % in DPG
S;D-00045508;ROSE OXIDE [FFP] @ 1 % in DPG
S;D-00046018;CIVETTONE 926851 [FFP] @ 10 % in TEC
S;D-00046021;DAMASCENONE [FFP] @ 1 % in DPG
S;D-00047085;DAMASCENONE [FFP] @ 10 % in DPG
S;D-00047148;MENTHE PAYS OIL N/D EO?MPE [FFP] @ 10 % in IPM
S;D-00047656;DIMETH SULFIDE @ 1% TEC [FFP] @ 10 % in TEC
S;D-00048604;AMBROXAN [FFP] @ 10 % in IPM
S;D-00048643;ROSE OXIDE [FFP] @ 10 % in DPG
S;D-00048736;CUMIN OIL NAT EO MPE [FFP] @ 10 % in DPG
S;D-00048737;DAMASCENONE TOTAL [FFP] @ 10 % in DPG
S;D-00048834;BENZALD [FFP] @ 10 % in DPG
S;D-00048872;VANILLIN [FFP] @ 10 % in DPG
S;D-00048943;UNDECALACTONE GAMMA [FFP] @ 10 % in DPG
S;D-00049077;CALONE 1951 [FFP] @ 10 % in DPG
S;D-00049078;ETH BUTYRATE [FFP] @ 1 % in DPG
S;D-00049079;AURANTIOL [FFP] @ 10 % in DPG
S;D-00049080;HEXENYL ACETATE CIS 3 [FFP] @ 1 % in DPG
S;D-00049204;MANDARINAL 32048 SAEF SUB NB BASE 021F [FFP] @ 10 % in BB
S;D-00049231;CIVETTONE 926851 [FFP] @ 10 % in DPG
S;D-00049270;DAMASCOL 4 [FFP] @ 10 % in DPG
S;D-00049408;INDOLE CX [FFP] @ 10 % in DPG
S;D-00049449;CUMIN OIL NAT EO MPE [FFP] @ 10 % in BB
S;D-00049515;TUBEROSE ABS INDIAN 100% PURE & NAT EXT A.VIEILLE [FFP] @ 10 % in DPG
S;D-00049801;PECHISSIME AB7684 SUB KFPCHE002A DEP FREE [FFP] @ 10 % in DPG
S;D-00049866;DAMASCONE BETA [FFP] @ 10 % in DPG
S;D-00049894;HEXEN-1-OL, CIS-3, [FFP] @ 10 % in DPG
S;D-00049910;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 10 % in DPG
S;D-00050175;ORRIS ABS EXT IFF [FFP] @ 1 % in DPG
S;D-00050224;CYCLOTENE [FFP] @ 1 % in DPG
S;D-00050273;HEXENYL ACETATE CIS 3 [FFP] @ 10 % in DPG
S;D-00050308;CIVETTONE 926851 [FFP] @ 1 % in DPG
S;D-00050320;ALLYL CYCLOHEXYL PROP [FFP] @ 1 % in DPG
S;D-00050380;HEXYL ACET [FFP] @ 1 % in DPG
S;D-00050627;LEVISTAMEL 30% / TEC 70% [FFP] @ 10 % in DPG
S;D-00050724;ADOXAL [FFP] @ 10 % in BB
S;D-00050882;TRIPLAL W/O BHT [FFP] @ 10 % in DPG
S;D-00050918;INDOLE CX [FFP] @ 0.1 % in DPG
S;D-00051021;SULFUROL [FFP] @ 10 % in DPG
S;D-00051033;ORANGE FLOWER WATER ABS EXT A.VIELLE [FFP] @ 10 % in DPG
S;D-00051040;OAKMOSS #1 [FFP] @ 10 % in DPG
S;D-00051129;DAMASCONE DELTA [FFP] @ 10 % in DPG
S;D-00051137;CASTOREUM RDE ABS EXT FIR [FFP] @ 10 % in DPG
S;D-00051191;CASTOREUM GIVCO 116/4 [FFP] @ 10 % in DPG
S;D-00051286;ETH BUTYRATE [FFP] @ 10 % in DPG
S;D-00051430;CHAMOMILE OIL ROMAN [FFP] @ 1 % in DPG
S;D-00051550;ORANGE FLOWER ABS SUB KFFLO 016M [FFP] @ 10 % in DPG
S;D-00051720;JASMIN SAMBAC SUB ML FLO 001 [FFP] @ 10 % in DPG
S;D-00051725;CYCLAL C [FFP] @ 1 % in DPG
S;D-00051742;METH ANTH [FFP] @ 10 % in DPG
S;D-00051868;MELONAL [FFP] @ 10 % in DPG
S;D-00051890;LEMON OIL C'LESS FUROCOUMARINE FREE EO GATTO [FFP] @ 10 % in DPG
