article_type.code;article.code;article.description;article.commentaire;article.collection
C;ABX091498BE/ABX;COCO PISO RECKITT;12030470BE;1
C;ABX091498BI/ABX;COCO FRESHMATIC RECKITT;12030470BI;1
C;ABX091498BW/ABX;COCO CHINE WAVE SHAMPOO;12030470BW;1
C;ABX091498CD/ABX;COCO D'EAU SHADES P&G IN THE AIR;12030470CD;1
C;ABX091498FJ/ABX;COCO SHAMPOO REPAIR ORIFLAME;12030470FJ;1
C;ABX091498T/ABX;COCO SHAMPOO;12030470T;1
C;ABX091790N/ABX;DELIGHT CONNOISSEUR CHROM BASE PANTENE;12050754N;1
C;ABX101397F/ABX;ALMOND CREAMY;12041226F;1
C;ABX104402K/ABX;FAX LAVENDER SOAP;12038673K;1
C;ABX104650E/ABX;ORANGE SOAP;12041621E;1
C;ABX109762F/ABX;BABY SOAP;12058455F;1
C;ABX109946/ABX;ZEST MENTA SOAP;12041887;1
C;ABX110195/ABX;LEVER 2000;12041181;1
C;ABX110586E/ABX;LENOR ENVOLEE D'AIR FRAIS (JSCHYP010);12060081E;1
C;ABX110586I/ABX;LENOR ENVOLEE D'AIR FRAIS (JSCHYP010);12060081I;1
C;ABX110718A/ABX;MIEL NEFERTITI;12042326A;1
C;ABX111136E/ABX;DALIN FABRIC SOFTENER;12060857E;1
C;ABX111677AO/ABX;HYPNOSE PISO;12049788AO;1
C;ABX111677AP/ABX;HYPNOSE FRESHMATIC RECKITT;12049788AP;1
C;ABX111677J/ABX;HYPNOSE KNEIPP;12049788J;1
C;ABX163129N/ABX;PARIS OUD APC;12060143N;1
C;ABX163129S/ABX;PARIS OUD LIQUID DET;12060143S;1
C;ABX163130AD/ABX;LAVANDE BLACK WOOD FRESHMATIC;12050360AD;1
C;ABX163130Q/ABX;LAVANDE BLACK WOOD FRESHMATIC;12050360Q;1
C;ABX163130S/ABX;LAVANDE BLACK WOOD PISO;12050360S;1
C;ABX163130X/ABX;LAVANDE BLACK WOOD FRESHMATIC;12050360X;1
C;ABX163131A/ABX;EUPHORIA;12050003A;1
C;ABX163131N/ABX;EUPHORIA;12050003N;1
C;ABX163132C/ABX;HEMAS VELVET SANDALWOOD SOAP;12060168C;1
C;ABX163227W/ABX;FLORAL SEE-CHERRY FRESHMATIC;12059522W;1
C;ABX163227Z/ABX;SEE BY CHLOE PISO BTB;12059522Z;1
C;ABX163228F/ABX;LAVANDE SYRIO RECKITT;12050217F;1
C;ABX163229AB/ABX;MY FLORAL LIQ DET HENKEL;12060664AB;1
C;ABX163230BB/ABX;MIDNIGHT ROSE FRESHMATIC;12059677BB;1
C;ABX163230O/ABX;MIDNIGHT ROSE FRESHMATIC;12059677O;1
C;ABX163230R/ABX;MIDNIGHT ROSE FRESHMATIC;12059677R;1
C;ABX163230W/ABX;MIDNIGHT ROSE PISO BTB;12059677W;1
C;ABX163262F/ABX;SPICY AND APPLE FROM JSFRUI085 ET DGFLO066DA;12051327F;1
C;ABX163262I/ABX;SPICY AND APPLE FROM JSFRUI085 ET DGFLO066DA PISO;12051327I;1
C;ABX163286D/ABX;LAVENDER PISO;12051201D;1
C;ABX163286K/ABX;LAVENDER PISO;12051201K;1
C;ABX163286M/ABX;LAVENDER FRESHMATIC BEAT THE BEST;12051201M;1
C;ABX163286R/ABX;LAVENDER PISO;12051201R;1
C;ABX163287F/ABX;ALL ABOUT EVE LAVANDE FRESHMATIC FROM JSORIE053M;12061466F;1
C;ABX163287I/ABX;ALL ABOUT EVE LAVANDE PISO FROM JSORIE053M;12061466I;1
C;ABX163288AA/ABX;LAVANDE MILLION FRESHMATIC;12050458AA;1
C;ABX163288AD/ABX;LAVANDE MILLION FRESHMATIC;12050458AD;1
C;ABX163288AH/ABX;LAVANDE MILLION PISO;12050458AH;1
C;ABX163288I/ABX;LAVANDE MILLION;12050458I;1
C;ABX163288L/ABX;LAVANDE MILLION;12050458L;1
C;ABX163288T/ABX;LAVANDE MILLION FRESHMATIC;12050458T;1
C;ABX163463B/ABX;FORET NOIRE;12051387B;1
C;ABX163522B/ABX;RAINFOREST PISO;12050205B;1
C;ABX163522H/ABX;RAINFOREST PISO;12050205H;1
C;ABX163522M/ABX;RAINFOREST PISO;12050205M;1
C;ABX163522O/ABX;RAINFOREST PISO;12050205O;1
C;ABX163533AA/ABX;CLEAN SENSATION - ABERCROMBIE FRESHMATIC RECKITT;12050520AA;1
C;ABX163533AB/ABX;CLEAN SENSATION - ABERCROMBIE PISO EU RECKITT;12050520AB;1
C;ABX163533BE/ABX;ABERCROMBIE HOME DECOR;12050520BE;1
C;ABX163533D/ABX;CLEAN SENSATION;12050520D;1
C;ABX163533R/ABX;CLEAN SENSATION;12050520R;1
C;ABX163534E/ABX;FIOR DI MUSCHIO PISO RECKITT;12050497E;1
C;ABX163534S/ABX;FIOR DI MUSCHIO PISO RECKITT;12050497S;1
C;ABX163646E/ABX;INSTANT MADEL MALODOR A PARTIR DGFLO192DO;12060805E;1
C;ABX164131F/ABX;ARIEL SENSACIONES;12055212F;1
C;ABX164131N/ABX;ARIEL SENSACIONES;12055212N;1
C;ABX164829AR/ABX;BE DELICIOUS CANDLE;12050359AR;1
C;ABX164829AR/ABX;BE DELICIOUS CANDLE;12050359AR;1
C;ABX164829AZ/ABX;BE DELICIOUS FRESHMATIC;12050359AZ;1
C;ABX164829BC/ABX;BE DELICIOUS FRESHMATIC;12050359BC;1
C;ABX164829H/ABX;BE DELICIOUS PISO;12050359H;1
C;ABX164830/ABX;EMERALD NENUPHAR A PARTIR DE DGCR040;12054741;1
C;ABX164840E/ABX;TALCO BOSQUE VERDE SOFTENER A PARTIR JSMUSK029D;12060336E;1
C;ABX164876A/ABX;SOLEIL CANNELLE ET POMME A PARTIR DGCR035A;12061055A;1
C;ABX164876E/ABX;SOLEIL CANNELLE ET POMME A PARTIR DGCR035A FRESHMA;12061055E;1
C;ABX164876G/ABX;SOLEIL CANNELLE ET POMME A PARTIR DGCR035A FRESHMA;12061055G;1
C;ABX164877L/ABX;ALL ABOUT EVE;12050498L;1
C;ABX164877N/ABX;ALL ABOUT EVE FRESHMATIC BTB;12050498N;1
C;ABX165271AA/ABX;LIGHT BLUE PISO;12049571AA;1
C;ABX165271J/ABX;LIGHT BLUE PISO;12049571J;1
C;ABX165271M/ABX;LIGHT BLUE PISO;12049571M;1
C;ABX165388E/ABX;ROPA LIMPIA;12050392E;1
C;ABX165388H/ABX;ROPA LIMPIA FRESHMATIC;12050392H;1
C;ABX170741F/ABX;FIORE DI LOTO ADOUCISSANT;12060514F;1
C;ABX179912W/ABX;ALMOND BLOSSOM STICKS ZOBELE;12058411W;1
C;ABX179972AD/ABX;APPLE AND CINNAMON FRESHMATIC;12049787AD;1
C;ABX179972F/ABX;JUICY SPLASH PISO;12049787F;1
C;ABX179972P/ABX;APPLE AND CINNAMON PISO;12049787P;1
C;ABX179973/ABX;JSORIE052AH MOD;12049789;1
C;ABX179973AA/ABX;VANILLE CASHMERE FRESHMATIC BEAT THE BEST;12049789AA;1
