article_type.code;article.code;article.description;article.duree_validite
MP;001003;ACET C-8;180
MP;001004;ACET C-9;180
MP;001024;ALC C-10;180
MP;001027;ALC C-12 LAURIC;180
MP;001030;ALC C-8;180
MP;001031;ALC C-9;180
MP;001048;ALLYL AMYL GLYCOLATE;180
MP;001049;ALLYL CAPROATE;180
MP;001050;ALLYL CAPRYLATE (GSP STO);180
MP;001051;ALLYL CYCLOHEXYL PROP;180
MP;001052;ALLYL HEPTOATE (HEPTYLATE);180
MP;001053;ALLYL PHENOXY ACET (GSP STO);180
MP;001059;AMBER CORE;180
MP;001065;AMBRETONE;180
MP;001068;AMBRETTOLIDE;180
MP;001072;AMBROX DL;180
MP;001073;AMBROXAN;180
MP;001079;AMYL PHEN ACET;180
MP;001080;AMYL SAL;180
MP;001081;AMYL VINYL CARB ACET;180
MP;001082;AMYL VINYL CARBINOL;180
MP;001084;ANDRANE;180
MP;001108;AZARBRE;180
MP;001109;ALDAMBRE;180
MP;001125;AMBRINOL (GSP STO);180
MP;001141;AMYL BUTY;180
MP;001150;AMBERKETAL IPM (GSP STO);180
MP;001155;ALDRON (GSP STO);180
MP;001165;ALLYL AMYL GLYCOLATE LCV;180
MP;001174;AMBROX DL CEM (AMBROTECH KAO);180
MP;002001;BACDANOL;180
MP;002013;BENZ ACET;180
MP;002014;BENZ ACETONE;180
MP;002016;BENZ BENZOATE;180
MP;002017;BENZ BUTY;180
MP;002018;BENZ CINNAMATE;180
MP;002021;BENZ ISO BUTY;180
MP;002022;BENZ ISO EUGENOL (GSP STO);180
MP;002024;BENZ PHEN ACET;180
MP;002026;BENZ SAL;180
MP;002028;BENZ SAL SUB FA FLOR 103;180
MP;002036;BENZOPHENONE;180
MP;002046;BHT;180
MP;002049;BISABOLENE;180
MP;002051;BOISAMBRENE FORTE;180
MP;002052;BORNEOL, L, CRYST;180
MP;002053;BORNYL ACET, L;180
MP;002061;BUTYL BUTY;180
MP;002063;BUTYL CAPROATE;180
MP;002067;BUTYL M-CRESOL, 6-TERT,;180
MP;002079;BOISIRIS (GSP STO);180
MP;002088;BITREX PG, 25% w/v;180
MP;002106;BORNEOL CRYSTALS LCV;180
MP;003005;CAMPHENE PF;180
MP;003024;CARVACROL (GSP);180
MP;003026;CARYOPHYLLENE, BETA;180
MP;003027;CARYOPHYLLENE ACET;180
MP;003028;CASHMERAN;180
MP;003043;CEDRAMBER;180
MP;003044;CEDRENOL (CEDROL TEXAS) (GSP STO);180
MP;003046;CEDRYL ACET;180
MP;003048;CEDROL CRYST;180
MP;003050;CEDRYL ACET CRYST (GSP);180
MP;003052;CELESTOLIDE;180
