article_type.code;article.code;article.description;article.duree_validite
MP;001040;ALD C6;30
MP;001041;ALD C7;30
MP;001042;ALD C8;30
MP;001042FR;ALD C8 FR;30
MP;001043;ALD C9 FCC;30
MP;001034;ALD C10 FCC;30
MP;111227;ALD C11 ISO;30
MP;001143;ALD C11 LENIC;30
MP;001035;ALD C11 MOA;30
MP;001037;ALD C11 NB;30
MP;001036;ALD C11 UNDECYLENIC;30
MP;TEU090041;ALD C11 UNDECYLENIC 50%;30
MP;001038;ALD C12 Lauric;30
MP;001039;ALD C12 MNA;30
MP;001045;ALD XI;30
MP;003083;CITRAL DMA;30
MP;003084;CITRAL NATURAL;30
MP;003153;CYCLAMEN ALD EXTRA;30
MP;004011;DECEN 1 AL TRANS 4;30
MP;FFP004011;DECEN 1 AL TRANS 4;30
MP;004077;DECENAL 9;30
MP;004070;DECENAL CIS 4;30
MP;004010;DECENAL TRANS 2;30
MP;004063;DH CITRONELLAL L;30
MP;008087;HYDROXYCITRONELLAL EX CITRIODORA;30
MP;009008;INTRELEVEN ALD SPECIAL;30
MP;012006;LAURINAL;30
MP;012007;LAURINAL L;30
MP;012046;LILIAL;30
MP;230881;MUGUET ALD 50 DEP;30
MP;014023;NONADIEN 1 AL TRANS 2 CIS 6;30
MP;014038;NONADIEN 1 AL TRANS 2 CIS 6 à 1% DPG;30
MP;014027;NONENAL CIS 6;30
MP;014028;NONENAL TRANS 2;30
MP;015078;OXANE;30
MP;016058;PHEN PROPYL ALD;30
MP;020077;TRIDECENAL TRANS 2;30
S;D-00001293;ALD  C6 10% DPG;30
S;D-00008867;ALD C8  FR 10% DPG;30
S;D-00000326;ALD C8 10% DPG;30
S;D-00001574;ALD C9 FCC 1% DPG;30
S;D-00001152;ALD C9 FCC 10% DPG;30
S;D-00001409;ALD C10 FCC 1% DPG;30
S;D-00000211;ALD C10 FCC 10% DPG;30
S;D-00000339;ALD C10 FCC 10% TEC;30
S;D-00000887;ALD C11 NB 1% DPG;30
S;D-00000397;ALD C11 NB 10%DPG;30
S;D-00000156;ALD C11 UNDECYLIC 10% DPG;30
S;D-00001736;ALD C12 Lauric 1% DPG;30
S;D-00000374;ALD C12 LAURIC 10% DPG;30
S;D-00000034;ALD C12 MNA 1% DPG;30
S;D-00000159;ALD C12 MNA 10% DPG;30
S;D-00000546;CYCLAMEN ALD EXTRA 10% DPG;30
S;D-00000037;DECEN 1 AL TRANS 4 1% DPG;30
S;D-00001613;NONADIEN 1 AL TRANS 2  0,1% DPG;30
S;D-00002409;NONADIENAL TRANS 2 1% DPG;30
S;D-00003200;NONENAL TRANS 2 0,1% DPG;30
S;D-00017133;NONENAL TRANS 2 1% TEC;30
S;D-00001778;OXANE 10% TEC;30
S;D-00001682;OXANE 1% DPG;30
S;D-00001212;OXANE  10% DPG;30
